Scan,Time,ACF,202p,202p,202p,202p,,204p,204p,204p,204p,,206p,206p,206p,206p,206a,206a,206a,206a,,207p,207p,207p,207p,207a,207a,207a,207a,,208p,208p,208p,208p,208a,208a,208a,208a,,232p,232p,232p,232p,232a,232a,232a,232a,,238p,238p,238p,238p,238a,238a,238a,238a,
39,1442951557.664000,51.437500,967.0,967.0,1355.0,1742.0,,257.0,515.0,257.0,128.0,,52292.0,53485.0,55822.0,63580.0,53546.4375,56118.3125,56118.3125,61210.625,,2961.0,2502.0,3842.0,3631.0,3600.625,3600.625,3600.625,3600.625,,16322.0,7382.0,14379.0,17100.0,0.0,19957.75,19957.75,19957.75,,689792.0,947472.0,896112.0,878736.0,659428.75,979164.25,899230.375,859263.4375,,1666368.0,1426592.0,1526848.0,1737984.0,1661945.625,1384131.6875,1508147.5,1711582.8125,
40,1442951557.988000,51.656250,387.0,1161.0,580.0,967.0,,386.0,644.0,773.0,515.0,,62387.0,62287.0,63879.0,60148.0,64053.75,64053.75,66584.90625,58888.125,,2855.0,2926.0,3666.0,3631.0,3615.9375,3615.9375,3615.9375,5423.90625,,18266.0,16322.0,20211.0,10880.0,20042.625,20042.625,20042.625,20042.625,,790912.0,851312.0,943008.0,928848.0,802738.125,862917.65625,883011.9375,903054.5625,,1669056.0,1439008.0,1804832.0,1662944.0,1659095.4375,1439866.3125,1813547.625,1649125.78125,
41,1442951558.313000,51.656250,1355.0,193.0,1161.0,967.0,,128.0,257.0,0.0,128.0,,61442.0,64376.0,67360.0,59005.0,58888.125,69167.71875,66584.90625,58888.125,,3031.0,3666.0,3595.0,3490.0,3615.9375,3615.9375,3615.9375,5423.90625,,19822.0,19822.0,20599.0,17878.0,20042.625,20042.625,20042.625,20042.625,,1139360.0,1269120.0,1063136.0,1109984.0,1204107.1875,1244244.09375,1023465.28125,1123833.375,,1645728.0,1947680.0,1878656.0,1976864.0,1644115.125,1933080.1875,1848415.59375,1977917.8125,
42,1442951558.638000,51.796875,1548.0,774.0,967.0,580.0,,128.0,902.0,128.0,0.0,,58855.0,61292.0,65868.0,58557.0,59048.4375,59048.4375,64228.125,59048.4375,,3031.0,3278.0,3631.0,3913.0,3625.78125,3625.78125,5438.671875,3625.78125,,29156.0,16711.0,20599.0,18655.0,40246.171875,0.0,20097.1875,20097.1875,,1268704.0,1146688.0,1137696.0,1243680.0,1287877.5,1167138.98438,1126892.8125,1247631.32812,,1897792.0,1814528.0,2007872.0,2000384.0,1888410.46875,1828429.6875,2043283.125,2003295.9375,
43,1442951558.962000,52.281250,774.0,967.0,1161.0,2322.0,,386.0,128.0,0.0,0.0,,65023.0,64078.0,76914.0,78756.0,64828.75,64828.75,77794.5,77794.5,,2890.0,3736.0,3031.0,3877.0,1829.84375,5489.53125,3659.6875,3659.6875,,21766.0,17100.0,13990.0,20211.0,20285.125,20285.125,0.0,40622.53125,,995696.0,983936.0,801360.0,1126272.0,1035848.40625,954603.34375,792113.21875,1117093.46875,,1996416.0,1900512.0,2060064.0,2354944.0,2006920.34375,1911088.8125,2132970.4375,2380051.625,
44,1442951559.287000,51.531250,580.0,193.0,967.0,387.0,,128.0,773.0,0.0,128.0,,74128.0,72138.0,78606.0,73530.0,76678.5,74101.9375,76678.5,71525.375,,4336.0,4900.0,4477.0,4018.0,5410.78125,5410.78125,3607.1875,5410.78125,,22933.0,29934.0,22155.0,31101.0,19994.125,40039.78125,19994.125,40039.78125,,1337344.0,1569888.0,1274848.0,1252288.0,1321312.78125,1561551.46875,1261227.34375,1281273.0,,1982432.0,2062176.0,2074304.0,2261184.0,1968184.5625,2042750.28125,2057642.8125,2301179.5,
45,1442951559.612000,51.796875,1161.0,1161.0,1548.0,2903.0,,515.0,128.0,773.0,257.0,,74924.0,72934.0,81942.0,69600.0,74483.90625,69356.015625,84739.6875,69356.015625,,3877.0,3772.0,3983.0,3490.0,3625.78125,5438.671875,3625.78125,5438.671875,,19044.0,23321.0,19044.0,24877.0,40246.171875,20097.1875,20097.1875,20097.1875,,986768.0,1288832.0,1265408.0,1065152.0,1006154.29688,1287877.5,1247631.32812,1086646.64062,,1950208.0,1896128.0,2149824.0,1950208.0,1953363.75,1868416.875,2153196.09375,1968333.04688,
46,1442951559.936000,51.656250,1355.0,1355.0,1355.0,1161.0,,644.0,0.0,386.0,0.0,,67360.0,72784.0,69002.0,73830.0,69167.71875,71698.875,71698.875,69167.71875,,3631.0,4371.0,4018.0,4442.0,1807.96875,7283.53125,5423.90625,3615.9375,,27600.0,24877.0,16322.0,19822.0,40136.90625,20042.625,20042.625,0.0,,1309376.0,1212928.0,1138528.0,1350112.0,1304423.625,1224149.8125,1163970.28125,1344560.53125,,2186560.0,2106816.0,2097728.0,2050496.0,2192187.9375,2087532.375,2107471.6875,2042694.75,
47,1442951560.261000,51.390625,1355.0,967.0,1161.0,774.0,,128.0,257.0,257.0,515.0,,63033.0,73182.0,80000.0,83486.0,61154.84375,73899.71875,81556.921875,81556.921875,,4265.0,3807.0,3913.0,4900.0,5396.015625,3597.34375,3597.34375,7246.078125,,20211.0,27211.0,27989.0,27600.0,19939.5625,39930.515625,19939.5625,39930.515625,,1177344.0,1226464.0,1055808.0,1370304.0,1217855.03125,1197915.46875,1058132.96875,1377577.09375,,1781792.0,2080544.0,2130432.0,2472512.0,1759563.60938,2096634.71875,2151160.17188,2458476.10938,
48,1442951560.586000,51.593750,1161.0,1161.0,774.0,387.0,,0.0,128.0,0.0,386.0,,77214.0,85428.0,81792.0,81444.0,76771.5,84407.375,81879.28125,79299.59375,,4442.0,3948.0,5358.0,3772.0,5417.34375,5417.34375,5417.34375,3611.5625,,17878.0,24488.0,25266.0,24488.0,40088.34375,20018.375,40088.34375,0.0,,1292096.0,1861472.0,1563232.0,1659872.0,1302845.375,1884152.15625,1603533.75,1703728.8125,,2282304.0,2576128.0,2644288.0,2241600.0,2264191.71875,2577675.34375,2607548.125,2214403.75,
49,1442951560.910000,51.750000,2516.0,1161.0,1161.0,967.0,,257.0,257.0,0.0,257.0,,81494.0,81294.0,85178.0,87320.0,79539.75,82127.25,82127.25,89838.0,,3948.0,4336.0,4230.0,5147.0,3622.5,5433.75,5433.75,5433.75,,24488.0,20988.0,22155.0,32268.0,40209.75,20079.0,0.0,60288.75,,1614400.0,1716288.0,1903200.0,1905312.0,1628469.0,1749098.25,1869727.5,1909937.25,,2346880.0,2597376.0,2480576.0,2669120.0,2315967.75,2625432.75,2490624.0,2680287.75,
50,1442951561.235000,51.984375,1161.0,774.0,1355.0,1355.0,,257.0,902.0,128.0,128.0,,87768.0,82788.0,89610.0,98626.0,87645.65625,82499.203125,87645.65625,97938.5625,,4336.0,3877.0,4124.0,4829.0,5458.359375,5458.359375,3638.90625,5458.359375,,31879.0,34991.0,27600.0,32657.0,20169.9375,60561.796875,20169.9375,20169.9375,,1519616.0,1491840.0,1714176.0,1723392.0,1534890.65625,1514668.73438,1736849.95312,1716628.03125,,2790336.0,2504512.0,1992928.0,2424640.0,2797747.07812,2511936.98438,1985491.21875,2411659.125,
51,1442951561.560000,51.843750,967.0,1548.0,580.0,0.0,,386.0,386.0,386.0,257.0,,85328.0,95288.0,83486.0,89360.0,87408.5625,97673.625,82276.03125,84816.375,,4230.0,4583.0,4970.0,5006.0,3629.0625,3629.0625,7309.96875,5443.59375,,25655.0,30712.0,30712.0,34213.0,40282.59375,20115.375,40282.59375,40282.59375,,1553664.0,1631904.0,1596928.0,1674464.0,1631419.125,1611303.75,1591136.53125,1691868.9375,,2579328.0,912624.0*,0.0*,0.0*,2565176.90625,2650148.8125,2910197.0625,2910197.0625,
52,1442951561.884000,52.015625,2516.0,1935.0,774.0,1161.0,,773.0,128.0,128.0,386.0,,87618.0,96632.0,97928.0,100468.0,87698.34375,92847.890625,97997.4375,100598.21875,,3877.0,5076.0,5817.0,4829.0,3641.09375,7334.203125,3641.09375,7334.203125,,31101.0,28378.0,37326.0,33435.0,40416.140625,20182.0625,40416.140625,40416.140625,,1590272.0,1753120.0,1518784.0,1549920.0,1657061.76562,1697477.90625,1555995.40625,1555995.40625,,2397056.0,2324032.0,2800832.0,2797824.0,2383043.84375,2337842.26562,2789389.90625,2809467.9375,
53,1442951562.209000,52.062500,1161.0,1355.0,580.0,2129.0,,386.0,644.0,0.0,0.0,,94840.0,88564.0,92896.0,96034.0,92931.5625,87777.375,95534.6875,92931.5625,,5041.0,3560.0,5323.0,5887.0,5466.5625,3644.375,7340.8125,5466.5625,,28378.0,29156.0,24877.0,40829.0,40452.5625,20200.25,20200.25,60652.8125,,1704992.0,1925568.0,1966528.0,1739712.0,1719207.875,2002375.8125,1901270.4375,1759660.4375,,2599936.0,2405056.0,2713280.0,2651520.0,2631238.75,2380141.3125,2731667.3125,2646284.8125,
54,1442951562.534000,52.046875,1548.0,967.0,580.0,774.0,,386.0,773.0,0.0,515.0,,93046.0,91602.0,100918.0,106796.0,92903.671875,90353.375,100658.65625,100658.65625,,4195.0,5464.0,5499.0,5993.0,3643.28125,7338.609375,5464.921875,5464.921875,,35770.0,24877.0,29934.0,29545.0,40440.421875,40440.421875,20194.1875,40440.421875,,1716704.0,2174208.0,2206208.0,1975840.0,1738938.14062,2284857.8125,2244417.39062,1961334.4375,,2640960.0,2574592.0,2755136.0,2865536.0,2625400.51562,2565182.28125,2781020.67188,2866377.54688,
55,1442951562.858000,51.890625,1161.0,967.0,1355.0,2710.0,,257.0,0.0,386.0,257.0,,108492.0,103856.0,105102.0,109588.0,110630.8125,102951.0,102951.0,108088.171875,,5076.0,5922.0,6240.0,7791.0,5448.515625,5448.515625,5448.515625,9132.75,,29934.0,34213.0,36548.0,34213.0,20133.5625,40319.015625,40319.015625,40319.015625,,2033024.0,2105216.0,2381952.0,2104320.0,2076403.35938,2076403.35938,2419140.9375,2116722.375,,753200.0*,3037120.0*,3144832.0,3366016.0,2882783.67188,3042918.14062,3123037.26562,3373253.85938,
56,1442951563.183000,52.062500,774.0,193.0,193.0,1548.0,,128.0,0.0,257.0,257.0,,102710.0,108840.0,113276.0,123848.0,105843.0625,108446.1875,108446.1875,126511.875,,5887.0,6205.0,4759.0,7227.0,5466.5625,7340.8125,5466.5625,7340.8125,,43164.0,35381.0,43164.0,45110.0,40452.5625,60652.8125,20200.25,60652.8125,,2187008.0,2336832.0,2034304.0,2500160.0,2143985.8125,2406901.4375,2002375.8125,2508058.875,,3123968.0,3236160.0,3251456.0,244068.0*,3118283.4375,3223762.0625,3248856.1875,3560137.875,
57,1442951563.508000,51.875000,580.0*,1355.0,1548.0,1355.0,,257.0,0.0,0.0,128.0,,105600.0,103258.0,91004.0,102512.0,102920.0,102920.0,90055.0,102920.0,,4583.0,5676.0,4195.0,3948.0,3631.25,7314.375,5446.875,3631.25,,18655.0,20988.0,32657.0,27600.0,20127.5,20127.5,40306.875,40306.875,,1580288.0,1666944.0,1676992.0,1754368.0,1632402.5,1632402.5,1733195.625,1753323.125,,1887968.0,2010176.0,1971072.0,1662432.0,1866255.0,2011349.375,1991325.625,1646097.5,
58,1442951563.832000,51.296875,1935.0,1161.0,1161.0,580.0,,128.0,257.0,386.0,257.0,,54778.0,52192.0,48812.0,61193.0,55964.890625,53400.046875,48321.65625,61043.28125,,2361.0,3208.0,1833.0,2115.0,1795.390625,5386.171875,1795.390625,3590.78125,,17489.0,23321.0,11269.0,18655.0,19903.1875,39857.671875,0.0,19903.1875,,1067200.0,944224.0,783264.0,811824.0,1036299.46875,956584.125,777198.953125,817056.625,,1040032.0,919456.0,996080.0,1199712.0,1029066.60938,900465.34375,1004341.51562,1187420.0625,
59,1442951564.157000,51.843750,387.0,1935.0,580.0,1548.0,,257.0,515.0,128.0,257.0,,26751.0,28738.0,28390.0,30675.0,28254.84375,30847.03125,28254.84375,30847.03125,,1727.0,1269.0,1057.0,1128.0,1814.53125,1814.53125,1814.53125,1814.53125,,6216.0,7771.0,10880.0,8548.0,20115.375,0.0,20115.375,20115.375,,467064.0,347232.0,420712.0,435760.0,463223.90625,342376.125,443108.53125,422941.3125,,465360.0,607440.0,664768.0,495008.0,455032.59375,600039.5625,680034.46875,480021.28125,
60,1442951564.482000,51.843750,774.0,1935.0,967.0,580.0,,128.0,515.0,128.0,128.0,,14985.0,13247.0,13644.0,14439.0,17989.78125,12857.25,12857.25,15397.59375,,705.0,564.0,881.0,881.0,1814.53125,1814.53125,0.0,1814.53125,,5051.0,3108.0,3496.0,3108.0,0.0,0.0,20115.375,0.0,,158668.0,207232.0,184504.0,229196.0,161130.375,221528.34375,181245.75,221528.34375,,255964.0,318080.0,373312.0,299896.0,249990.5625,335014.3125,370008.84375,300019.78125,
61,1442951564.806000,51.843750,580.0,967.0,1161.0,580.0,,128.0,386.0,128.0,386.0,,8037.0,8682.0,8781.0,7590.0,7672.875,7672.875,10265.0625,7672.875,,176.0,564.0,423.0,141.0,1814.53125,0.0,1814.53125,1814.53125,,2719.0,2331.0,2331.0,3108.0,0.0,20115.375,0.0,20115.375,,107478.0,94992.0,100064.0,316480.0,120847.78125,100680.5625,80565.1875,322260.75,,136984.0,133296.0,184676.0,185940.0,129972.28125,129972.28125,184978.5,180001.5,
62,1442951565.131000,51.843750,774.0,2129.0,580.0,580.0,,128.0,0.0,644.0,128.0,,4563.0,3670.0,4712.0,4812.0,2540.34375,5132.53125,2540.34375,5132.53125,,458.0,387.0,669.0,141.0,0.0,1814.53125,1814.53125,0.0,,388.0,1554.0,3108.0,777.0,0.0,0.0,0.0,20115.375,,71596.0,49393.0,33046.0,38883.0,80565.1875,40282.59375,40282.59375,40282.59375,,54463.0,126896.0,92586.0,66938.0,54954.375,124995.28125,90000.75,64960.21875,
63,1442951565.456000,51.843750,1355.0,774.0,387.0,2903.0,,0.0,128.0,128.0,902.0,,1438.0,3571.0,3174.0,2529.0,0.0,2540.34375,2540.34375,5132.53125,,141.0,141.0,176.0,105.0,0.0,1814.53125,1814.53125,0.0,,1942.0,388.0,0.0,3108.0,20115.375,0.0,0.0,20115.375,,49393.0,13601.0,16711.0,30712.0,60397.96875,20115.375,0.0,40282.59375,,43927.0,72258.0,37453.0,50983.0,34994.53125,74966.0625,29965.6875,54954.375,
64,1442951565.780000,51.843750,2516.0,387.0,1355.0,774.0,,257.0,257.0,515.0,644.0,,1140.0,1388.0,1587.0,694.0,0.0,2540.34375,0.0,2540.34375,,70.0,105.0,0.0,0.0,1814.53125,0.0,1814.53125,0.0,,388.0,777.0,0.0,388.0,0.0,20115.375,0.0,0.0,,12046.0,20211.0,3885.0,26433.0,0.0,40282.59375,0.0,40282.59375,,14761.0,13410.0,21132.0,17174.0,14982.84375,9954.0,14982.84375,9954.0,
65,1442951566.105000,51.843750,1161.0,967.0,193.0,580.0,,386.0,257.0,257.0,0.0,,496.0,843.0,744.0,496.0,2540.34375,0.0,0.0,2540.34375,,35.0,0.0,70.0,70.0,0.0,1814.53125,1814.53125,1814.53125,,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,,1554.0,1554.0,3496.0,7382.0,20115.375,0.0,0.0,20115.375,,23546.0,2893.0,57557.0,15630.0,24988.6875,0.0,59983.21875,14982.84375,
66,1442951566.430000,51.843750,967.0,967.0,1161.0,580.0,,0.0,0.0,644.0,0.0,,347.0,793.0,1240.0,248.0,0.0,0.0,2540.34375,0.0,,70.0,35.0,70.0,0.0,0.0,0.0,1814.53125,1814.53125,,0.0,777.0,777.0,0.0,0.0,0.0,0.0,0.0,,3885.0,1165.0,22155.0,1554.0,0.0,20115.375,20115.375,0.0,,2122.0,10708.0,30305.0,23449.0,0.0,14982.84375,24988.6875,19959.84375,
67,1442951566.754000,51.843750,774.0,580.0,580.0,774.0,,128.0,386.0,386.0,128.0,,793.0,99.0,694.0,198.0,0.0,0.0,0.0,2540.34375,,0.0,0.0,70.0,0.0,0.0,1814.53125,1814.53125,0.0,,0.0,0.0,777.0,0.0,0.0,0.0,0.0,20115.375,,1554.0,777.0,3108.0,0.0,20115.375,0.0,0.0,0.0,,4630.0,6077.0,578.0,3761.0,4977.0,4977.0,0.0,4977.0,
68,1442951567.079000,51.843750,580.0,967.0,774.0,1548.0,,515.0,644.0,128.0,773.0,,49.0,99.0,49.0,248.0,0.0,2540.34375,0.0,0.0,,35.0,0.0,35.0,0.0,1814.53125,0.0,1814.53125,0.0,,388.0,0.0,0.0,0.0,20115.375,0.0,0.0,0.0,,777.0,0.0,1942.0,388.0,0.0,0.0,0.0,0.0,,771.0,1060.0,771.0,385.0,0.0,0.0,0.0,0.0,
69,1442951567.404000,51.843750,1742.0,580.0,0.0,580.0,,515.0,257.0,128.0,128.0,,49.0,49.0,248.0,148.0,0.0,0.0,0.0,2540.34375,,35.0,35.0,105.0,0.0,1814.53125,1814.53125,1814.53125,0.0,,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,,0.0,0.0,1165.0,0.0,20115.375,0.0,0.0,0.0,,2990.0,4437.0,1543.0,0.0,0.0,4977.0,0.0,0.0,
70,1442951567.728000,51.843750,774.0,580.0,1548.0,774.0,,257.0,128.0,128.0,644.0,,248.0,148.0,0.0,49.0,0.0,2540.34375,0.0,2540.34375,,0.0,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,20115.375,,0.0,12046.0,777.0,0.0,0.0,0.0,0.0,0.0,,0.0,1446.0,2025.0,4533.0,0.0,0.0,0.0,0.0,
71,1442951568.053000,51.843750,774.0,1355.0,774.0,1161.0,,257.0,0.0,0.0,128.0,,49.0,99.0,49.0,148.0,2540.34375,0.0,0.0,0.0,,0.0,70.0,0.0,35.0,0.0,0.0,1814.53125,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,777.0,0.0,0.0,1165.0,0.0,0.0,0.0,0.0,,192.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,
72,1442951568.378000,51.843750,0.0,774.0,967.0,967.0,,128.0,0.0,0.0,128.0,,0.0,49.0,99.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,1814.53125,,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2314.0,96.0,0.0,868.0,0.0,0.0,0.0,0.0,
73,1442951568.702000,51.843750,774.0,387.0,774.0,1548.0,,257.0,128.0,0.0,128.0,,99.0,0.0,99.0,0.0,0.0,0.0,0.0,2540.34375,,0.0,35.0,0.0,35.0,0.0,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3108.0,1554.0,0.0,0.0,20115.375,0.0,0.0,0.0,,192.0,96.0,0.0,8006.0,0.0,0.0,0.0,4977.0,
